frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance
1,0.05739712256827018,0.20766835768569844,1.0,-2.5,-13.0,51.973616318413264,0.6394527491838238,-5,-26,-5,-26,2150.0,115.97413504743201
2,0.036819568724915305,0.21174603664691521,1.0,-3.0,-12.5,50.70467374950798,0.6221309970564975,-6,-25,-6,-25,2074.0,117.09824934643558
3,0.05536882193154358,0.213458495085812,1.0,-3.0,-13.0,50.439722210248064,0.6427168793176203,-6,-26,-6,-26,2094.0,115.11733144926528
4,0.05566472884293646,0.20710808741610767,1.0,-3.0,-12.5,50.847188386683584,0.628724076828805,-6,-25,-6,-25,2098.5,117.23907198540937
5,0.0740189480927775,0.20939509844830292,1.0,-3.0,-13.0,51.256205698757945,0.6363574737386563,-6,-26,-6,-26,2229.0,119.07980517283357
6,0.06345815477775067,0.21016718891361616,1.0,-2.5,-13.5,52.791025605314324,0.6446088839433157,-5,-27,-5,-27,2223.0,117.23907198540937
7,0.050478799178983624,0.21229214426688314,1.0,-2.0,-13.5,53.25469610423533,0.64224689075453,-4,-27,-4,-27,2264.0,117.09824934643558
8,0.0514366151132868,0.2204304760596777,1.0,-2.5,-13.5,53.431477857940315,0.6413595677752573,-5,-27,-5,-27,2280.0,118.0889495253472
9,0.0380184551343863,0.2187803622335398,1.0,-2.5,-13.5,53.88920089623748,0.6459422414661738,-5,-27,-5,-27,2337.5,120.20815280171308
10,0.04746876910128486,0.20061179048556457,1.0,-2.0,-13.5,52.798266555355916,0.6336582334609098,-4,-27,-4,-27,2338.5,119.21828718783037
11,0.045317829337935385,0.21357061771418534,1.0,-2.0,-14.0,53.521857042743164,0.6442060751563067,-4,-28,-4,-28,2397.5,119.21828718783037
12,0.05071489210557446,0.20701815421642292,1.0,-2.0,-14.0,54.40433697088536,0.649574010599675,-4,-28,-4,-28,2440.5,120.3536455617361
13,0.044013758459110056,0.20935891063416198,1.0,-2.0,-14.5,54.41168018587849,0.6526777842415558,-4,-29,-4,-29,2490.5,121.19818480488888
14,0.04153533887492541,0.21514281445427266,1.0,-2.0,-14.0,54.99992410595924,0.649574010599675,-4,-28,-4,-28,2440.5,120.3536455617361
15,0.0527597660373971,0.20777599873943967,1.0,-2.0,-14.5,54.920293703806244,0.6526777842415558,-4,-29,-4,-29,2490.5,121.19818480488888
16,0.04403325649085121,0.2121333552634124,1.0,-2.0,-14.5,56.053928055659746,0.6515295391198154,-4,-29,-4,-29,2543.0,122.3315167894194
17,0.04248317713090521,0.19764333883319354,1.0,-2.0,-15.0,56.28729390587342,0.6589870995683559,-4,-30,-4,-30,2610.0,122.05326705991938
18,0.054454074281089004,0.20866253850084476,1.0,-2.5,-14.5,56.059986289311745,0.6692192302294055,-5,-29,-5,-29,2542.0,121.19818480488888
19,0.042914081020011326,0.20496570163545116,1.0,-2.0,-14.5,56.19146641422692,0.6553565182781282,-4,-29,-4,-29,2576.5,122.18837915284743
20,0.040355616261705786,0.20400740611756724,1.0,-2.0,-14.5,56.30745833087289,0.6635342041368284,-4,-29,-4,-29,2533.0,120.20815280171308
21,0.04199747445598115,0.20957038491736318,1.0,-2.0,-15.0,56.439034387968704,0.6659248129887437,-4,-30,-4,-30,2619.0,121.19818480488888
22,0.05185067326300228,0.21158700179003884,1.0,-2.0,-14.5,57.17032246171723,0.6481724083998119,-4,-29,-4,-29,2602.5,123.17873193047572
23,0.052326471167201474,0.19735513066116955,1.0,-1.5,-14.5,56.72867929689138,0.6490320961506103,-3,-29,-3,-29,2585.0,122.18837915284743
24,0.0499826030239555,0.19913087104567082,1.0,-2.0,-15.0,57.16248212189859,0.6757709221127892,-4,-30,-4,-30,2644.0,121.06196760337245
25,0.0541679480929265,0.19396677575078924,1.0,-2.5,-15.5,57.469048995855424,0.6775077240632587,-5,-31,-5,-31,2715.5,122.9186723000212
26,0.05002155490106958,0.20368634666928448,1.0,-2.0,-15.0,57.39515102810502,0.6589870995683559,-4,-30,-4,-30,2610.0,122.05326705991938
27,0.05938288908807776,0.2050254619362824,1.0,-1.5,-15.0,56.95468817635543,0.6516746760062074,-3,-30,-3,-30,2672.0,123.17873193047572
28,0.051810154872859185,0.206233771186144,1.0,-2.0,-15.0,57.22548539207448,0.6684943729745172,-4,-30,-4,-30,2670.5,122.05326705991938
29,0.04456268565692585,0.19503540007660022,1.0,-1.5,-15.0,57.52795783106436,0.6621283926288233,-3,-30,-3,-30,2678.5,122.05326705991938
30,0.04314080657596023,0.1989847350925453,1.0,-1.5,-15.0,57.56807887807176,0.6516746760062074,-3,-30,-3,-30,2672.0,123.17873193047572
31,0.04631058313522177,0.20252361666925378,1.0,-2.0,-15.0,57.09921754536676,0.6659248129887437,-4,-30,-4,-30,2619.0,121.19818480488888
32,0.04399618191974116,0.19448575076489816,1.0,-2.0,-15.5,57.506744544820776,0.6673459861755522,-4,-31,-4,-31,2724.5,123.17873193047572
33,0.04499284465211399,0.1906273450670453,1.0,-1.5,-15.5,57.63673067099084,0.6653303929061855,-3,-31,-3,-31,2711.5,121.92620719107111
34,0.04450592416735429,0.20309150282480462,1.0,-2.0,-15.0,57.33351103187468,0.6613296256029333,-4,-30,-4,-30,2697.0,123.0447073221762
35,0.045818675862331064,0.19639511257960449,1.0,-2.0,-15.0,57.308672310120976,0.6578923474034162,-4,-30,-4,-30,2663.5,123.17873193047572
36,0.04740985032923798,0.1952338539562303,1.0,-2.0,-15.0,56.96600749334508,0.650230060235117,-4,-30,-4,-30,2672.0,125.02799686470227
37,0.04136926225648714,0.2091456390064927,1.0,-2.0,-15.0,56.54715513020119,0.6510135542095414,-4,-30,-4,-30,2654.0,124.03628501370073
38,0.07276747956684881,0.20288224935844654,1.0,-2.0,-15.0,56.41024605360263,0.6545132843046528,-4,-30,-4,-30,2688.0,123.9112585683803
39,0.0675077707789071,0.18328128476990008,1.0,-2.0,-15.5,56.49865939114935,0.6638466595068356,-4,-31,-4,-31,2749.5,123.9112585683803
40,0.07442654199463815,0.18922215996229025,1.0,-2.5,-15.5,56.532154880418894,0.6761778753614364,-5,-31,-5,-31,2769.0,124.03628501370073
41,0.09229954234103156,0.2001017957048725,1.0,-2.0,-16.0,56.60269845569371,0.6788212486110818,-4,-32,-4,-32,2838.5,124.03628501370073
42,0.07828619250246306,0.20441741906715355,1.0,-2.0,-16.0,56.58208044845186,0.6795906862521479,-4,-32,-4,-32,2819.0,123.0447073221762
43,0.06474626109936651,0.20210319332883311,1.0,-2.0,-15.5,56.89148285236799,0.6698104946050536,-4,-31,-4,-31,2777.0,124.03628501370073
44,0.07455575898987367,0.19933371248028567,1.0,-2.0,-15.5,56.34762390275918,0.6645828634282896,-4,-31,-4,-31,2730.5,122.9186723000212
45,0.07991301210458021,0.19887041981443196,1.0,-1.5,-16.0,56.97182282326196,0.6811650361104765,-3,-32,-3,-32,2780.0,121.06196760337245
46,0.08439191649959443,0.19690380725843834,1.0,-2.0,-15.5,56.07136764452283,0.6645828634282896,-4,-31,-4,-31,2730.5,122.9186723000212
47,0.07508502049545769,0.2029165733607038,1.0,-2.0,-15.5,57.04846263868006,0.6765380888088216,-4,-31,-4,-31,2785.5,123.17873193047572
48,0.08077288497628933,0.19636321942957569,1.0,-2.0,-15.0,56.04369643130739,0.6624251809442476,-4,-30,-4,-30,2643.5,121.92620719107111
49,0.07356236943121197,0.20586716557613663,1.0,-2.0,-15.5,56.89883009625049,0.6777336391604424,-4,-31,-4,-31,2731.0,122.05326705991938
50,0.09303472835192074,0.18593381931412015,1.0,-2.0,-15.0,56.30498604049827,0.6626378153035181,-4,-30,-4,-30,2683.5,121.59358535712317
51,0.08185568197740696,0.20135787376999184,1.0,-1.5,-15.5,56.603443281157844,0.6762136330181313,-3,-31,-3,-31,2660.5,120.20815280171308
52,0.08328859185446368,0.21063698491207034,1.0,-2.0,-15.5,55.64316905116362,0.6724857773049834,-4,-31,-4,-31,2685.0,120.93386622447825
53,0.0810594841226144,0.21085320073823527,1.0,-2.0,-15.5,56.839656044053974,0.6705885636185657,-4,-31,-4,-31,2758.0,123.0447073221762
54,0.09563770146145231,0.20477029549134465,1.0,-1.5,-15.5,56.13392957520879,0.6668604770840793,-3,-31,-3,-31,2673.5,119.94165248152953
55,0.07933702788968101,0.20292180599080056,1.0,-1.5,-15.5,56.630331011991366,0.669040374506448,-3,-31,-3,-31,2687.5,121.19818480488888
56,0.07046530933624655,0.2049329424734321,1.0,-2.0,-15.5,56.042131016546826,0.6745064888857927,-4,-31,-4,-31,2697.5,122.18837915284743
57,0.08447034557981326,0.20750552476250436,1.0,-1.5,-16.0,56.588215207511624,0.6841871313199586,-3,-32,-3,-32,2775.0,121.3424904969401
58,0.11152092945375001,0.21209689473330046,1.0,-2.0,-15.5,56.330402570568495,0.6887561216882611,-4,-31,-4,-31,2718.0,119.94165248152953
59,0.09230460556165689,0.20130292178792325,1.0,-1.5,-15.5,56.554460005259436,0.6713785189695988,-3,-31,-3,-31,2739.0,122.05326705991938
60,0.07244466107427709,0.20853566171208712,1.0,-2.0,-16.0,56.56099489200006,0.6895624276428332,-4,-32,-4,-32,2785.0,122.3315167894194
61,0.10259091880468373,0.23372532335674903,1.0,-2.0,-15.5,56.069193363143384,0.6797495691293343,-4,-31,-4,-31,2658.5,119.94165248152953
62,0.06784342651622832,0.21552463497977328,1.0,-2.0,-16.0,56.900273755313776,0.6895624276428332,-4,-32,-4,-32,2785.0,122.3315167894194
63,0.07288214272148787,0.2149846664938106,1.0,-2.0,-15.5,56.631553072677974,0.6753535401252755,-4,-31,-4,-31,2679.0,121.19818480488888
64,0.06621525867697885,0.21286285515830153,1.0,-2.0,-15.0,56.66240172858575,0.6724850782917079,-4,-30,-4,-30,2675.0,123.62847568420473
65,0.06873718662670483,0.21347338560984794,1.0,-2.0,-15.0,56.30872561036008,0.6732219329544769,-4,-30,-4,-30,2592.5,120.20815280171308
66,0.07874376601224252,0.2118945015168073,1.0,-2.0,-15.5,55.82973271937519,0.6761313996193172,-4,-31,-4,-31,2709.0,123.47064428438041
67,0.08709307464195475,0.20511370494890946,1.0,-2.0,-15.0,56.29784855396261,0.6684943729745172,-4,-30,-4,-30,2670.5,122.05326705991938
68,0.05029028611842694,0.20817616362554356,1.0,-2.0,-15.5,56.90524689926505,0.6745064888857927,-4,-31,-4,-31,2697.5,122.18837915284743
