frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance
1,0.2029656815757098,0.164467269090451,1.0,0.5,-19.0,63.83330825563644,0.6751257425257337,1,-38,1,-38,3447.0,123.06502346320826
2,0.19658077742543204,0.16897279305093638,1.0,1.0,-18.5,63.41992330022354,0.6745570797655174,2,-37,2,-37,3390.5,122.10241602851272
3,0.20583112314006757,0.17181158655195417,1.0,1.0,-18.5,62.98392293586424,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
4,0.2064687051325071,0.17195986808204217,1.0,1.0,-18.5,63.31931433666651,0.6617048466239522,2,-37,2,-37,3419.0,124.14507642270796
5,0.20284600092441835,0.17616558483957756,1.0,1.0,-18.5,63.53959675893262,0.6617048466239522,2,-37,2,-37,3419.0,124.14507642270796
6,0.21229435791620224,0.18218440570005737,1.0,1.0,-18.5,63.21673993687217,0.6673657296750982,2,-37,2,-37,3416.0,124.14507642270796
7,0.20743130457763276,0.1647701781417322,1.0,1.0,-18.5,63.17634614261264,0.6617048466239522,2,-37,2,-37,3419.0,124.14507642270796
8,0.21049761567591405,0.1711670552893569,1.0,1.0,-18.5,63.27711883065646,0.6617048466239522,2,-37,2,-37,3419.0,124.14507642270796
9,0.2072571564161449,0.16564174813520063,1.0,1.5,-18.5,63.18741540572267,0.661999051695128,3,-37,3,-37,3393.0,123.14625451064275
10,0.20400371273659634,0.17141414191874235,1.0,1.0,-18.5,63.335528500433824,0.6617048466239522,2,-37,2,-37,3419.0,124.14507642270796
11,0.21136820600163578,0.1682636871703241,1.0,1.0,-18.5,63.261268385860035,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
12,0.20608034771862946,0.16758966211389617,1.0,1.0,-18.0,62.91016365946741,0.6605674963794913,2,-36,2,-36,3328.5,123.14625451064275
13,0.2087191712581113,0.17029962339610613,1.0,0.5,-18.5,63.17123719563172,0.6733849760208299,1,-37,1,-37,3387.0,123.14625451064275
14,0.20782544396693273,0.1686589406863375,1.0,1.0,-18.5,63.5300592804414,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
15,0.20269320593485854,0.16797165244927734,1.0,1.0,-18.5,63.07413880894621,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
16,0.1988056650729684,0.16845349459976158,1.0,1.0,-18.5,63.197236047449394,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
17,0.1993961916024942,0.1674045938636012,1.0,1.0,-18.5,63.48336787370263,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
18,0.198347467302565,0.17043788897571763,1.0,1.0,-18.5,63.23127487347345,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
19,0.20015312007469518,0.16605167242162341,1.0,1.0,-18.5,63.294221402199064,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
20,0.20245376015126393,0.1571335018328245,1.0,1.0,-18.5,63.581444215534546,0.6676579585310177,2,-37,2,-37,3390.0,123.14625451064275
