frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance
1,0.19731348367795204,0.17710874517148337,1.0,1.5,-19.5,64.96016820338679,0.6431901034849167,3,-39,3,-39,3803.5,131.01526628603247
2,0.1873338706431,0.1650377292102065,1.0,1.5,-20.0,66.62838615880715,0.6614983382629716,3,-40,3,-40,3904.0,130.01538370516005
3,0.18631477520773537,0.17905244926828995,1.0,1.5,-20.5,66.6027366618781,0.656568096003846,3,-41,3,-41,3965.0,131.00381673829202
4,0.19236574719473096,0.17963949494269388,1.0,1.5,-20.5,66.72819638182052,0.6619637883498233,3,-41,3,-41,3934.5,130.00384609695206
5,0.19540735632043854,0.17766411785037398,1.0,1.5,-20.5,66.85512272799721,0.667709016506974,3,-41,3,-41,3969.0,130.01538370516005
6,0.19967289038273955,0.17689396297869941,1.0,1.5,-20.5,66.69696151604465,0.6619637883498233,3,-41,3,-41,3934.5,130.00384609695206
7,0.20338733719245358,0.17821720924138845,1.0,1.5,-20.5,66.88299884862383,0.6619637883498233,3,-41,3,-41,3934.5,130.00384609695206
8,0.20131156771649727,0.17682708721120874,1.0,1.5,-20.0,66.96579246521785,0.6614983382629716,3,-40,3,-40,3904.0,130.01538370516005
9,0.20009673946737003,0.17420867053989778,1.0,1.5,-20.5,67.19305563579178,0.6627140068977283,3,-41,3,-41,4030.5,131.00381673829202
10,0.20284772408954815,0.17678301516191647,1.0,1.5,-20.5,67.14380555942101,0.6619637883498233,3,-41,3,-41,3934.5,130.00384609695206
11,0.20448218850869324,0.17534524515041228,1.0,1.5,-20.5,67.44601525473152,0.6627140068977283,3,-41,3,-41,4030.5,131.00381673829202
12,0.2088844584019562,0.17951342834442927,1.0,1.5,-20.5,67.18250075842863,0.6680829092205561,3,-41,3,-41,3999.5,130.00384609695206
13,0.19855945391473676,0.17640811762379752,1.0,1.5,-20.5,67.23273253884723,0.6680829092205561,3,-41,3,-41,3999.5,130.00384609695206
14,0.2012267309381063,0.17315603224100032,1.0,1.5,-20.5,67.29324897181215,0.6627140068977283,3,-41,3,-41,4030.5,131.00381673829202
15,0.20034456756406613,0.17501248224326524,1.0,1.5,-20.5,67.34332142229583,0.6676216076110749,3,-41,3,-41,3999.0,131.01526628603247
16,0.20300928204743723,0.17729956442991493,1.0,1.5,-20.5,67.2454586858862,0.6623058944750871,3,-41,3,-41,4000.0,131.01526628603247
17,0.1926754038562638,0.17551403204613492,1.0,1.5,-20.5,67.34156510962458,0.667709016506974,3,-41,3,-41,3969.0,130.01538370516005
