frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance
1,0.19247780980644405,0.17944712837914029,1.0,1.0,-18.5,60.74956412640883,0.6882663020325163,2,-37,2,-37,3164.5,114.00438588054409
2,0.17140368917827373,0.17775413365256898,1.0,1.0,-18.5,61.09611873355922,0.6754026243929414,2,-37,2,-37,3135.0,115.00434774390054
3,0.19150516274291443,0.18681520342737978,1.0,0.5,-18.5,60.66772996223442,0.6818764006481204,1,-37,1,-37,3162.5,115.0
4,0.19860365995197385,0.1878232541064474,1.0,0.5,-18.5,60.319989425548606,0.6815470389421765,1,-37,1,-37,3134.5,115.00434774390054
5,0.18710576827588643,0.1883604429126639,1.0,0.5,-18.5,60.44833485117941,0.6878121885533655,1,-37,1,-37,3107.0,114.00438588054409
6,0.1920566394864276,0.18485205870960353,1.0,1.0,-18.0,60.327340119452394,0.6747674783416369,2,-36,2,-36,3050.5,114.00438588054409
7,0.19081891557196745,0.18435698824801416,1.0,1.0,-18.0,60.48858701621032,0.6751582587650209,2,-36,2,-36,3078.0,114.0
8,0.19606742453899426,0.18287739466927322,1.0,0.5,-18.5,60.55257156150035,0.6878685311750622,1,-37,1,-37,3080.0,113.00442469213318
9,0.1889249008111835,0.19092613369496958,1.0,0.5,-18.5,60.353872928948796,0.6815470389421765,1,-37,1,-37,3134.5,115.00434774390054
10,0.19405326516748803,0.1908979906892483,1.0,0.5,-18.5,60.552726039747164,0.6880915830092917,1,-37,1,-37,3135.0,114.0
11,0.19738085206997893,0.1869067200715385,1.0,1.0,-18.0,60.29297576147381,0.6751582587650209,2,-36,2,-36,3078.0,114.0
12,0.196731084166291,0.18388538233488022,1.0,0.5,-18.0,60.31684874515484,0.6810204245220597,1,-36,1,-36,3050.0,114.00438588054409
13,0.1981743672700095,0.18997154977698447,1.0,0.5,-18.5,60.489365286110726,0.6878121885533655,1,-37,1,-37,3107.0,114.00438588054409
